Country Name,Country Code,IT.NET.USER.P2,SE.PRM.ENRR,SE.SEC.ENRR,SE.XPD.TOTL.GD.ZS,SL.UEM.TOTL.ZS,SP.POP.TOTL
Namibia,NAM,14.870177948,109.1193252563476,,7.416795253753665,20.5666667090522,2276547.3333333335
Nepal,NPL,10.865520205555555,137.60567220052087,62.097559611002616,3.8581562638282776,2.7777777910232544,27684975.0
Netherlands,NLD,91.08979455000001,107.2820520401,128.21258544921886,5.465497085026334,5.433333370420666,16740798.0
New Caledonia,NCL,53.56271909875,,,,14.055555449591743,259111.11111111112
New Zealand,NZL,82.22639392777778,99.69879817962641,118.63863754272475,6.5356861948967,5.555555608537461,4438377.777777778
Nicaragua,NIC,13.786236162222222,123.637348175049,73.60258865356445,4.48548984527588,6.622222211625841,5875049.444444444
Niger,NER,1.716297556111111,66.12054634094238,15.367162704467775,4.584801469530379,2.44444449742635,17823203.222222224
Nigeria,NGA,16.552222222222223,88.17561594645183,44.24255498250326,,6.422222243414985,167662597.8888889
Northern Mariana Islands,MNP,,,,,,54819.555555555555
Norway,NOR,94.40465159666667,99.68819332122801,112.49562168121338,6.886880000432332,3.488888872994318,5010693.555555556
Oman,OMN,51.47186940111111,105.61978803362175,99.95881779988595,4.5740649700164795,17.71111106872559,3520256.222222222
Pakistan,PAK,10.430506421111112,92.67499446868896,38.40906143188475,2.4492112100124364,5.744444423251682,178132556.0
Palau,PLW,,109.44067128499364,108.27168273925766,,,20800.222222222223
Panama,PAN,43.35081335666667,106.10715375627785,74.02025059291294,3.390254974365235,5.0,3773934.5555555555
Papua New Guinea,PNG,4.2935042735555555,87.59502601623525,40.346321105957,,2.55555550257365,7432947.0
Paraguay,PRY,31.862453132222225,104.42079010009779,69.99191131591797,4.566819985707603,5.533333354526096,6382287.111111111
Peru,PER,37.41241563222222,106.17317771911613,94.63136863708495,3.1776312589645377,5.066666656070286,30180629.777777776
